province,type,data
境外输入,confirm,14
境外输入,dead,0
境外输入,heal,14
境外输入,new_confirm,0
随州,confirm,1307
随州,dead,45
随州,heal,1262
随州,new_confirm,0
恩施州,confirm,252
恩施州,dead,7
恩施州,heal,245
恩施州,new_confirm,0
武汉,confirm,50340
武汉,dead,3869
武汉,heal,46471
武汉,new_confirm,0
宜昌,confirm,931
宜昌,dead,37
宜昌,heal,894
宜昌,new_confirm,0
荆州,confirm,1580
荆州,dead,52
荆州,heal,1528
荆州,new_confirm,0
黄冈,confirm,2907
黄冈,dead,125
黄冈,heal,2782
黄冈,new_confirm,0
十堰,confirm,672
十堰,dead,8
十堰,heal,664
十堰,new_confirm,0
孝感,confirm,3518
孝感,dead,129
孝感,heal,3389
孝感,new_confirm,0
仙桃,confirm,575
仙桃,dead,22
仙桃,heal,553
仙桃,new_confirm,0
黄石,confirm,1015
黄石,dead,39
黄石,heal,976
黄石,new_confirm,0
咸宁,confirm,836
咸宁,dead,15
咸宁,heal,821
咸宁,new_confirm,0
襄阳,confirm,1175
襄阳,dead,40
襄阳,heal,1135
襄阳,new_confirm,0
鄂州,confirm,1394
鄂州,dead,59
鄂州,heal,1335
鄂州,new_confirm,0
神农架,confirm,11
神农架,dead,0
神农架,heal,11
神农架,new_confirm,0
潜江,confirm,198
潜江,dead,9
潜江,heal,189
潜江,new_confirm,0
荆门,confirm,928
荆门,dead,41
荆门,heal,887
荆门,new_confirm,0
天门,confirm,496
天门,dead,15
天门,heal,481
天门,new_confirm,0
